agent_id,first_seen_joined_at,team_mode,vendor_mode,status_mode,raw_row_count,distinct_employee_codes,distinct_names
AGT0000760,2024-02-11 20:42:51,T2,VND0000013,ACTIVE,31,31,10
AGT0000171,2024-01-06 02:00:55,T3,VND0000004,ACTIVE,27,27,10
AGT0000766,2024-01-05 15:22:56,DIGITAL,VND0000002,SUSPENDED,35,34,9
AGT0000031,2024-01-09 02:33:31,DIGITAL,VND0000008,SUSPENDED,22,22,9
AGT0000669,2024-01-20 22:50:33,T3,VND0000002,ACTIVE,28,27,10
AGT0000968,2024-02-26 21:02:47,T2,VND0000001,ACTIVE,35,34,9
AGT0000155,2024-02-12 21:03:40,T3,VND0000006,INACTIVE,33,33,10
AGT0000480,2024-02-04 15:49:33,T2,VND0000013,ACTIVE,32,31,10
AGT0000404,2024-01-03 14:50:32,DIGITAL,VND0000009,INACTIVE,28,28,10
AGT0000077,2024-06-10 08:37:40,FIELD,VND0000011,ACTIVE,24,24,9
AGT0000515,2024-01-04 22:45:53,T2,VND0000014,ACTIVE,30,30,9
AGT0000768,2024-01-26 04:57:13,FIELD,VND0000008,INACTIVE,38,38,9
AGT0000880,2024-02-03 11:59:07,T3,VND0000010,ACTIVE,33,32,10
AGT0000824,2024-01-26 20:42:57,DIGITAL,VND0000011,INACTIVE,27,27,10
AGT0000319,2024-01-10 07:24:23,T3,VND0000007,ACTIVE,24,24,10
AGT0000563,2024-01-20 23:49:49,T2,VND0000010,ACTIVE,45,45,10
AGT0000325,2024-02-12 15:11:35,T2,VND0000008,SUSPENDED,35,35,10
AGT0000469,2024-01-30 16:29:42,FIELD,VND0000006,SUSPENDED,37,37,9
AGT0000260,2024-01-10 18:22:44,T2,VND0000004,ACTIVE,28,27,10
AGT0000180,2024-01-10 18:47:45,T2,VND0000007,SUSPENDED,41,38,10
AGT0000358,2024-01-13 02:07:16,DIGITAL,VND0000007,SUSPENDED,25,25,9
AGT0000991,2024-01-02 05:32:26,T1,VND0000014,ACTIVE,34,32,9
AGT0000145,2024-01-16 14:50:44,T3,VND0000003,ACTIVE,31,31,10
AGT0000682,2024-01-01 09:14:37,T2,VND0000005,ACTIVE,21,21,9
